20,0,0,16,23,6,0,5,10,30,22,27,2,0,0,0,0,0,0,5,5,0,7,5,0,17
0,7,0,4,0,0,0,19,1,0,53,0,0,0,0,0,16,0,0,40,0,4,0,0,0,56
0,0,57,0,0,10,34,0,0,0,0,0,0,55,7,7,0,17,10,0,3,0,0,0,0,0
0,9,0,51,0,7,0,6,31,3,25,4,0,0,0,0,17,0,0,20,2,3,0,0,0,22
0,0,0,0,153,18,0,0,2,0,0,0,1,0,0,1,0,0,0,0,3,0,1,21,0,0
2,0,8,12,5,142,0,0,0,0,0,3,0,0,0,4,0,0,0,0,13,0,1,10,0,0
0,0,56,0,0,5,42,0,0,0,0,0,0,54,2,11,0,20,9,0,1,0,0,0,0,0
0,0,0,1,0,0,0,110,0,0,2,0,0,0,0,0,0,0,0,51,0,32,0,0,0,4
0,1,0,11,0,0,0,15,87,3,0,0,0,0,0,0,0,0,0,36,0,39,0,0,1,7
7,0,0,3,21,0,0,10,30,82,1,1,0,0,0,0,0,0,0,22,0,16,0,4,2,1
0,16,0,0,0,0,0,35,0,0,47,0,0,0,0,0,22,0,0,32,0,3,0,0,0,45
20,0,0,20,27,11,0,5,11,31,14,26,1,0,0,1,5,0,0,7,1,2,4,4,0,10
0,0,0,11,29,28,1,2,12,8,14,19,59,0,0,0,1,0,0,8,0,0,1,3,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,7,0,0,1,0,0,0,0,0,0,0
0,0,56,0,0,4,48,0,0,0,0,0,0,48,5,15,0,11,11,0,2,0,0,0,0,0
0,0,12,0,1,5,7,0,0,0,0,0,0,21,1,103,0,1,3,0,34,0,0,12,0,0
0,15,0,2,0,0,0,32,0,0,64,0,0,0,0,0,12,0,0,35,0,5,0,0,0,35
0,0,61,0,0,2,35,0,0,0,0,0,0,53,4,18,0,14,9,0,4,0,0,0,0,0
0,0,55,0,0,4,39,0,0,0,0,0,0,55,5,12,0,21,9,0,0,0,0,0,0,0
0,0,0,1,0,0,0,53,0,1,2,0,0,0,0,0,0,0,0,54,0,75,0,0,0,14
0,0,2,3,9,21,0,0,0,0,0,0,0,4,0,13,0,0,1,0,132,0,0,15,0,0
0,0,0,2,0,0,0,48,2,0,4,0,0,0,0,0,0,0,0,58,0,76,0,0,0,10
13,0,0,17,33,12,0,5,6,24,17,32,2,0,0,0,0,0,0,6,6,0,6,3,0,18
0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,163,0,0
0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,154,0
0,15,0,2,0,0,0,32,0,0,56,0,0,0,0,0,12,0,0,36,0,4,0,0,0,43
