date,month,day,day_of_year,prev_temperature_max,prev_temperature_min,prev_rainfall,prev_precipitation_hours,prev_wind_speed,prev_cloud_cover,prev_humidity,prev_pressure,prev_snowfall,temperature_max,temperature_min,rainfall,precipitation_hours,snowfall,wind_speed,cloud_cover,humidity,pressure
2025-03-20 23:03:50.777752,3,20,79,30.5,23.0,0.64,0.24,18.0,58.0,81.0,1015.0,0,30.02000000000001,23.513,2.4930000000000003,10.01,0,14.842999999999996,50.01,81.2,1014.3169999999992
2025-03-21 23:03:50.777752,3,21,80,30.02000000000001,23.513,2.4930000000000003,10.01,14.842999999999996,50.01,81.2,1014.3169999999992,0,29.568000000000012,23.750000000000004,3.8329999999999984,10.5,0,17.427,47.93,81.82,1013.6989999999995
2025-03-22 23:03:50.777752,3,22,81,29.568000000000012,23.750000000000004,3.8329999999999984,10.5,17.427,47.93,81.82,1013.6989999999995,0,29.559999999999988,23.901000000000003,4.170999999999998,12.3,0,16.337000000000003,55.09,81.45,1013.4999999999997
2025-03-23 23:03:50.777752,3,23,82,29.559999999999988,23.901000000000003,4.170999999999998,12.3,16.337000000000003,55.09,81.45,1013.4999999999997,0,29.413999999999984,23.909000000000013,6.156000000000002,16.17,0,17.81200000000001,59.97,81.22,1013.6449999999998
2025-03-24 23:03:50.777752,3,24,83,29.413999999999984,23.909000000000013,6.156000000000002,16.17,17.81200000000001,59.97,81.22,1013.6449999999998,0,29.073999999999998,24.036000000000012,4.527999999999998,13.17,0,17.347,60.75,79.99,1013.7769999999989
2025-03-25 23:03:50.777752,3,25,84,29.073999999999998,24.036000000000012,4.527999999999998,13.17,17.347,60.75,79.99,1013.7769999999989,0,28.745999999999977,24.207999999999988,5.108999999999997,14.22,0,17.322,61.39,80.99,1013.6349999999991
2025-03-26 23:03:50.777752,3,26,85,28.745999999999977,24.207999999999988,5.108999999999997,14.22,17.322,61.39,80.99,1013.6349999999991,0,28.73100000000001,24.244,5.273999999999998,14.73,0,16.915000000000003,66.02,81.7,1013.7769999999994
2025-03-27 23:03:50.777752,3,27,86,28.73100000000001,24.244,5.273999999999998,14.73,16.915000000000003,66.02,81.7,1013.7769999999994,0,28.77700000000001,24.215999999999994,4.653,13.72,0,17.835000000000008,67.26,81.66,1013.7859999999995
2025-03-28 23:03:50.777752,3,28,87,28.77700000000001,24.215999999999994,4.653,13.72,17.835000000000008,67.26,81.66,1013.7859999999995,0,28.749000000000006,24.252999999999993,4.731999999999997,13.84,0,17.339999999999996,68.2,81.34,1013.6540000000001
2025-03-29 23:03:50.777752,3,29,88,28.749000000000006,24.252999999999993,4.731999999999997,13.84,17.339999999999996,68.2,81.34,1013.6540000000001,0,28.699000000000005,24.176999999999992,4.217999999999997,13.68,0,16.355,70.65,81.64,1013.5210000000001
2025-03-30 23:03:50.777752,3,30,89,28.699000000000005,24.176999999999992,4.217999999999997,13.68,16.355,70.65,81.64,1013.5210000000001,0,28.798000000000005,24.03899999999999,5.218999999999998,15.38,0,16.122000000000007,67.18,81.8,1013.4769999999999
2025-03-31 23:03:50.777752,3,31,90,28.798000000000005,24.03899999999999,5.218999999999998,15.38,16.122000000000007,67.18,81.8,1013.4769999999999,0,28.594000000000015,24.067999999999987,4.3839999999999995,14.6,0,15.461000000000002,66.32,81.14,1013.4539999999998
2025-04-01 23:03:50.777752,4,1,91,28.594000000000015,24.067999999999987,4.3839999999999995,14.6,15.461000000000002,66.32,81.14,1013.4539999999998,0,28.409000000000027,24.059999999999988,6.577999999999999,14.21,0,16.891,59.13,80.71,1013.3989999999998
2025-04-02 23:03:50.777752,4,2,92,28.409000000000027,24.059999999999988,6.577999999999999,14.21,16.891,59.13,80.71,1013.3989999999998,0,28.610000000000014,24.273999999999997,5.118000000000002,14.56,0,16.342000000000002,58.41,80.99,1012.8059999999994
2025-04-03 23:03:50.777752,4,3,93,28.610000000000014,24.273999999999997,5.118000000000002,14.56,16.342000000000002,58.41,80.99,1012.8059999999994,0,28.64900000000001,24.250999999999998,3.59,13.81,0,16.345,60.17,81.49,1012.5589999999994
2025-04-04 23:03:50.777752,4,4,94,28.64900000000001,24.250999999999998,3.59,13.81,16.345,60.17,81.49,1012.5589999999994,0,28.658,24.144999999999996,2.7899999999999996,13.08,0,16.087999999999994,60.78,81.81,1012.2200000000001
2025-04-05 23:03:50.777752,4,5,95,28.658,24.144999999999996,2.7899999999999996,13.08,16.087999999999994,60.78,81.81,1012.2200000000001,0,28.505,24.212999999999994,4.619999999999999,14.97,0,15.518999999999997,59.57,81.71,1011.8709999999999
2025-04-06 23:03:50.777752,4,6,96,28.505,24.212999999999994,4.619999999999999,14.97,15.518999999999997,59.57,81.71,1011.8709999999999,0,28.513000000000012,24.249999999999996,3.688999999999999,14.85,0,15.490999999999993,58.78,81.7,1011.6329999999997
2025-04-07 23:03:50.777752,4,7,97,28.513000000000012,24.249999999999996,3.688999999999999,14.85,15.490999999999993,58.78,81.7,1011.6329999999997,0,28.586000000000002,24.33899999999999,3.4870000000000005,13.1,0,15.562999999999994,59.5,82.4,1011.1829999999995
2025-04-08 23:03:50.777752,4,8,98,28.586000000000002,24.33899999999999,3.4870000000000005,13.1,15.562999999999994,59.5,82.4,1011.1829999999995,0,28.585,24.432999999999993,3.9670000000000005,15.04,0,15.648999999999992,64.29,82.16,1011.1560000000004
2025-04-09 23:03:50.777752,4,9,99,28.585,24.432999999999993,3.9670000000000005,15.04,15.648999999999992,64.29,82.16,1011.1560000000004,0,28.598,24.362,4.259999999999998,14.7,0,15.930999999999994,61.33,83.07,1011.2930000000001
